entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	uniprot	cancer	cancer_type	cancer_dom	cancer_rec	duplicability	origin	mirna	function	chromosome	tstart	tend	aliases	main_refseq	duplicability_main_refseq	potential_false_positive	primary_sites	degree	betweenness	clustering	complexes
284	ANGPT1	angiopoietin 1	8q23.1	3392	484	601667	NP_001137;NP_001186788	NM_001146;NM_001199859;NM_139290	ENSP00000428340	Q15389	TRUE	can	0	0	0	Eukaryotes	0	Development,Signal transduction	chr8	108264086	108509786	|AGPT|	NP_001137	0	FALSE	1	4	64	0.1670	9
287	ANK2	ankyrin 2, neuronal	4q25-q27	110	493	106410	NP_001120965;NP_001139;NP_066187;XP_005262999;XP_005263002;XP_005263005;XP_006714250;XP_006714251;XP_006714252;XP_006714253;XP_006714254;XP_006714255;XP_006714256;XP_006714257	NM_001127493;NM_001148;NM_020977;XM_005262942;XM_005262945;XM_005262948;XM_006714187;XM_006714188;XM_006714189;XM_006714190;XM_006714191;XM_006714192;XM_006714193;XM_006714194	ENSP00000349588	Q01484	TRUE	can	0	0	0	Last Universal Common Ancestor	2	Signal transduction	chr4	114067025	114302793	|ANK-2|LQT4|brank-2|	XP_005262999	0	FALSE	1	23	14007	0.0360	2
288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	10q21	2715	494	600465	NP_001140;NP_001191332;NP_001191333;NP_066267;XP_005269772;XP_005269773;XP_006717845;XP_006717846;XP_006717847;XP_006717848;XP_006717849;XP_006717850;XP_006717851;XP_006717852;XP_006717853;XP_006717854;XP_006717855;XP_006717856;XP_006717857;XP_006717858;XP_006717859;XP_006717860;XP_006717861;XP_006717862;XP_006717863;XP_006717864;XP_006717865;XP_006717866	NM_001149;NM_001204403;NM_001204404;NM_020987;XM_005269715;XM_005269716;XM_006717782;XM_006717783;XM_006717784;XM_006717785;XM_006717786;XM_006717787;XM_006717788;XM_006717789;XM_006717790;XM_006717791;XM_006717792;XM_006717793;XM_006717794;XM_006717795;XM_006717796;XM_006717797;XM_006717798;XM_006717799;XM_006717800;XM_006717801;XM_006717802;XM_006717803	ENSP00000280772	Q12955	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular processes,Signal transduction	chr10	61802452	62149296	|ANKYRIN-G|MRT37|	NP_066267	0	FALSE	2	18	21918	0.0390	
290	ANPEP	alanyl (membrane) aminopeptidase	15q25-q26	1055	500	151530	NP_001141;XP_005254949	NM_001150;XM_005254892	ENSP00000300060	P15144	TRUE	can	0	0	0	Last Universal Common Ancestor	11	Cellular metabolism,Development	chr15	90328583	90349814	|APN|CD13|GP150|PEPN|	NP_001141	0	FALSE	1	1	0	0.0000	
324	APC	adenomatous polyposis coli	5q21-q22	1439	583	611731	NP_000029;NP_001120982;NP_001120983	NM_000038;NM_001127510;NM_001127511	ENSP00000234071;ENSP00000257430	P25054	TRUE	cgc	0	1	0	Last Universal Common Ancestor	8	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	chr5	112090588	112179820	|BTPS2|DP2.5|PPP1R46|	NP_000029	0	FALSE	7	171	210940	0.0260	26
330	BIRC3	baculoviral IAP repeat containing 3	11q22	3426	591	601721	NP_001156;NP_892007	NM_001165;NM_182962	ENSP00000263464	Q13489	TRUE	cgc	1	0	0	Eukaryotes	3	Cell cycle,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr11	102195241	102207830	|API2|CIAP2|HAIP1|HIAP1|MALT2|RNF49|c-IAP2|	NP_001156	0	FALSE	1	74	13562	0.1400	14
338	APOB	apolipoprotein B	2p24-p23	133	603	107730	NP_000375	NM_000384	ENSP00000233242	P04114	TRUE	can	0	0	0	Metazoans	0	Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism	chr2	21224605	21265346	|FLDB|LDLCQ4|	NP_000375	0	FALSE	2	33	18547	0.0890	30
355	FAS	Fas cell surface death receptor	10q24.1	609	11920	134637	NP_000034;NP_690610;NP_690611;XP_006717882	NM_000043;NM_152871;NM_152872;NM_152873;NM_152874;NM_152875;NM_152876;NM_152877;NR_028033;NR_028034;NR_028035;NR_028036;XM_006717819	ENSP00000304592	P25445	TRUE	cgc	0	1	0	Last Universal Common Ancestor	4	Cell cycle,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr10	90762786	90774204	|ALPS1A|APO-1|CD95|FAS1|FASTM|TNFRSF6|	NP_000034	0	FALSE	2	71	28419	0.1040	16
367	AR	androgen receptor	Xq12	2437	644	313700	NP_000035;NP_001011645	NM_000044;NM_001011645	ENSP00000285930	P10275	TRUE	can	0	0	0	Last Universal Common Ancestor	5	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chrX	66764989	66943680	|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM|	NP_000035	0	FALSE	1	326	408371	0.0540	13
387	RHOA	ras homolog family member A	3p21.3	1323	667	165390	NP_001655	NM_001664	ENSP00000400175	P61586	TRUE	can	0	0	3	Eukaryotes	9	Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	chr3	49397645	49413022	|ARH12|ARHA|RHO12|RHOH12|	NP_001655	3	FALSE	3	131	104020	0.0350	35
388	RHOB	ras homolog family member B	2p24	1321	668	165370	NP_004031	NM_004040	ENSP00000272233	P62745	TRUE	can	0	0	2	Eukaryotes	5	Cell cycle,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr2	20647227	20647814	|ARH6|ARHB|MST081|MSTP081|RHOH6|	NP_004031	2	FALSE	1	33	16308	0.0360	11
399	RHOH	ras homolog family member H	4p13	-	686	602037	NP_001265288;NP_001265289;NP_001265290;NP_001265291;NP_001265292;NP_001265293;NP_001265294;NP_001265295;NP_001265296;NP_001265297;NP_001265298;NP_004301;XP_006714076	NM_001278359;NM_001278360;NM_001278361;NM_001278362;NM_001278363;NM_001278364;NM_001278365;NM_001278366;NM_001278367;NM_001278368;NM_001278369;NM_004310;XM_006714013	ENSP00000371219	Q15669	TRUE	cgc	1	0	0	Eukaryotes	0	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Immune system response,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr4	40245007	40245579	|ARHH|TTF|	NP_001265288	0	FALSE	1	10	468	0.0000	1
405	ARNT	aryl hydrocarbon receptor nuclear translocator	1q21	524	700	126110	NP_001184254;NP_001272964;NP_001272965;NP_001659;NP_848514;XP_005245208;XP_005245210;XP_005245211;XP_005245214	NM_001197325;NM_001286035;NM_001286036;NM_001668;NM_178426;NM_178427;XM_005245151;XM_005245153;XM_005245154;XM_005245157	ENSP00000340900	P27540	TRUE	cgc	1	0	0	Eukaryotes	1	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr1	150784500	150830937	|HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|bHLHe2|	NP_001659	0	FALSE	1	44	22083	0.1260	10
435	ASL	argininosuccinate lyase	7q11.21	1948	746	608310	NP_000039;NP_001020114;NP_001020115;NP_001020117	NM_000048;NM_001024943;NM_001024944;NM_001024946	ENSP00000216194	P04424	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cell response to stimuli,Cellular metabolism,Cellular processes,Development	chr7	65546790	65557896	|ASAL|	NP_000039	0	FALSE	1	14	1733	0.0550	
460	ASTN1	astrotactin 1	1q25.2	9019	773	600904	NP_001273093;NP_004310;NP_996991	NM_001286164;NM_004319;NM_207108	ENSP00000354536	O14525	TRUE	can	0	0	0	Metazoans	1	Cell motility and interactions	chr1	176833423	177133812	|ASTN|	NP_004310	0	FALSE	1				
463	ZFHX3	zinc finger homeobox 3	16q22.3	75	777	104155	NP_001158238;NP_008816;XP_005256014	NM_001164766;NM_006885;XM_005255957	ENSP00000268489	Q15911	TRUE	can	0	0	0	Metazoans	6	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr16	72821066	72994044	|ATBF1|ATBT|ZNF927|	NP_008816	0	FALSE	3	9	1444	0.1390	
466	ATF1	activating transcription factor 1	12q13	440	783	123803	NP_005162	NM_005171	ENSP00000264110;ENSP00000409007	P18846	TRUE	cgc	1	0	0	Vertebrates	2	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr12	51173929	51213559	|EWS-ATF1|FUS/ATF-1|TREB36|	NP_005162	0	FALSE	1	22	1755	0.2120	
471	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2q35	3434	794	601731	NP_004035;XP_006712608	NM_004044;XM_006712545	ENSP00000236959	P31939	TRUE	cgc	1	0	0	Last Universal Common Ancestor	0	Cellular metabolism,DNA/RNA metabolism and transcription,Development	chr2	216177220	216214375	|AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH|	NP_004035	0	FALSE	1	48	12642	0.1190	
472	ATM	ATM serine/threonine kinase	11q22-q23	6347	795	607585	NP_000042;XP_005271618;XP_005271619;XP_005271621;XP_006718906;XP_006718907;XP_006718908	NM_000051;NM_138292;NM_138293;XM_005271561;XM_005271562;XM_005271564;XM_006718843;XM_006718844;XM_006718845	ENSP00000278616	Q13315	TRUE	cgc	0	1	0	Eukaryotes	10	Cell cycle,Cell response to stimuli,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Signal transduction	chr11	108098352	108236232	|ATA|ATC|ATE|TEL1|TELO1|	NP_000042	0	FALSE	8	143	120036	0.0770	15
476	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	1p21	1662	799	182310	NP_000692;NP_001153705;NP_001153706;XP_006710718	NM_000701;NM_001001586;NM_001160233;NM_001160234;XM_006710655	ENSP00000295598;ENSP00000357060	P05023	TRUE	cgc	1	0	3	Last Universal Common Ancestor	3	Cell motility and interactions,Cellular processes,Regulation of intracellular processes and metabolism	chr1	116926636	116946599	|NA|	NP_000692	3	FALSE	1	58	20245	0.0620	
488	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	12q24.11	161	812	108740	NP_001672;NP_733765;XP_005253945	NM_001135765;NM_001681;NM_170665;XM_005253888;XR_243009	ENSP00000440045	P16615	TRUE	can	0	0	2	Last Universal Common Ancestor	4	Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	chr12	110719595	110784272	|ATP2B|SERCA2|	NP_733765	2	FALSE	1	50	26871	0.0660	
492	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3	Xq28	2057	816	300014	NP_001001344;NP_068768;XP_005274746;XP_005274747;XP_005274748;XP_005274749;XP_005274750;XP_006724886	NM_001001344;NM_021949;XM_005274689;XM_005274690;XM_005274691;XM_005274692;XM_005274693;XM_006724823	ENSP00000263519;ENSP00000461370	Q16720	TRUE	cgc	1	0	3	Last Universal Common Ancestor	0	Cellular processes	chrX	152801706	152845753	|CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1|	XP_005274746	3	FALSE	1	3	41	0.0000	
495	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide	19q13.1	668	819	137216	NP_000695	NM_000704	ENSP00000262623	P20648	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular processes	chr19	36041734	36054429	|ATP6A|	NP_000695	0	FALSE	1	74	98173	0.0120	
545	ATR	ATR serine/threonine kinase	3q23	8369	882	601215	NP_001175	NM_001184;XR_241498	ENSP00000445920	Q13535	TRUE	can	0	0	0	Eukaryotes	0	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr3	142168274	142297546	|FCTCS|MEC1|SCKL|SCKL1|	NP_001175	0	FALSE	2	86	21093	0.1110	5
546	ATRX	alpha thalassemia/mental retardation syndrome X-linked	Xq21.1	2069	886	300032	NP_000480;NP_612114;XP_005262210;XP_005262211;XP_005262212;XP_005262213;XP_005262214;XP_006724729;XP_006724730;XP_006724731	NM_000489;NM_138270;NM_138271;XM_005262153;XM_005262154;XM_005262155;XM_005262156;XM_005262157;XM_006724666;XM_006724667;XM_006724668	ENSP00000362441;ENSP00000472963	P46100	TRUE	cgc	0	1	0	Last Universal Common Ancestor	2	Cell response to stimuli,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chrX	76763832	76972722	|ATR2|JMS|MRXHF1|RAD54|SFM1|XH2|XNP|ZNF-HX|	NP_000480	0	FALSE	5	41	4909	0.1270	2
567	B2M	beta-2-microglobulin	15q21-q22.2	-	914	109700	NP_004039;XP_005254606;XP_006725245	NM_004048;XM_005254549;XM_006725182	ENSP00000460997	P61769	TRUE	can	0	0	0	Vertebrates	1	Immune system response	chr15	45003745	45007919	|NA|	XP_005254606	0	FALSE	2	28	39964	0.0850	28
577	BAI3	brain-specific angiogenesis inhibitor 3	6q12	4064	945	602684	NP_001695;XP_005248809;XP_005248810;XP_006715597	NM_001704;XM_005248752;XM_005248753;XM_006715534	ENSP00000359630	O60242	TRUE	can	0	0	0	Metazoans	1	Signal transduction	chr6	69348568	70098780	|NA|	NP_001695	0	FALSE	4	3	210	0.0000	
595	CCND1	cyclin D1	11q13	1346	1582	168461	NP_444284;XP_006718716	NM_053056;XM_006718653	ENSP00000227507	P24385	TRUE	cgc	1	0	0	Eukaryotes	31	Cell cycle,Cell response to stimuli,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr11	69456082	69466047	|BCL1|D11S287E|PRAD1|U21B31|	NP_444284	0	FALSE	7	101	52556	0.1040	23
596	BCL2	B-cell CLL/lymphoma 2	18q21.3	-	990	151430	NP_000624;NP_000648;XP_006722586	NM_000633;NM_000657;XM_006722523;XR_430082	ENSP00000329623	P10415	TRUE	cgc	1	0	0	Metazoans	44	Cell cycle,Cell response to stimuli,Cellular processes,Development,Immune system response,Multicellular activities,Other,Regulation of intracellular processes and metabolism,Signal transduction	chr18	60795861	60985899	|Bcl-2|PPP1R50|	NP_000624	0	FALSE	1	112	80689	0.0670	8
602	BCL3	B-cell CLL/lymphoma 3	19q13.1-q13.2	179	998	109560	NP_005169;XP_005259186	NM_005178;XM_005259129	ENSP00000164227	P20749	TRUE	cgc	1	0	0	Last Universal Common Ancestor	1	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Immune system response,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr19	45246074	45262869	|BCL4|D19S37|	XP_005259186	0	FALSE	1	49	7811	0.1930	2
603	BCL5	B-cell CLL/lymphoma 5	17q22	-	-	151441	-	-	ENSP00000232014	NA	TRUE	cgc	1	0	-1	Eukaryotes	0	-1	-	0	0	|NA|	-	-1	FALSE	1				
604	BCL6	B-cell CLL/lymphoma 6	3q27	180	1001	109565	NP_001124317;NP_001128210;NP_001697;XP_005247751	NM_001130845;NM_001134738;NM_001706;NM_138931;XM_005247694	ENSP00000232014	P41182	TRUE	cgc	1	0	0	Eukaryotes	8	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr3	187440249	187451481	|BCL6A|LAZ3|ZBTB27|ZNF51|	NP_001124317	0	FALSE	1	113	146591	0.0540	6
605	BCL7A	B-cell CLL/lymphoma 7A	12q24.13	-	1004	601406	NP_001019979;NP_066273	NM_001024808;NM_020993	ENSP00000445868	Q4VC05	TRUE	cgc	1	0	0	Metazoans	2	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr12	122459998	122497066	|BCL7|	NP_066273	0	FALSE	1	7	200	0.3810	
607	BCL9	B-cell CLL/lymphoma 9	1q21	4000	1008	602597	NP_004317;XP_005273028;XP_005277474;XP_005277475;XP_006711546	NM_004326;XM_005272971;XM_005277417;XM_005277418;XM_006711483	ENSP00000234739;ENSP00000464022	O00512	TRUE	cgc	1	0	0	Vertebrates	3	Signal transduction	chr1	147083636	147096757	|NA|	NP_004317	0	FALSE	1	7	878	0.3330	3
608	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	16p13.1	144	11913	109545	NP_001183	NM_001192	ENSP00000053243	Q02223	TRUE	cgc	1	0	0	Vertebrates	1	Signal transduction	chr16	12059182	12061701	|BCM|BCMA|CD269|TNFRSF13A|	NP_001183	0	FALSE	1	6	148	0.5330	1
613	BCR	breakpoint cluster region	22q11.23	1044	1014	151410	NP_004318;NP_067585	NM_004327;NM_021574	ENSP00000303507	P11274	TRUE	cgc	1	0	0	Eukaryotes	0	Cellular metabolism,Cellular processes,Signal transduction	chr22	23523148	23657706	|ALL|BCR1|CML|D22S11|D22S662|PHL|	NP_004318	0	FALSE	1	76	37159	0.1480	10
639	PRDM1	PR domain containing 1, with ZNF domain	6q21	4572	9346	603423	NP_001189;NP_878911;XP_005267151;XP_006715613	NM_001198;NM_182907;XM_005267094;XM_006715550	ENSP00000358092	O75626	TRUE	cgc	0	1	0	Metazoans	12	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr6	106534429	106555358	|BLIMP1|PRDI-BF1|	NP_001189	0	FALSE	1	23	5872	0.1110	
641	BLM	Bloom syndrome, RecQ helicase-like	15q26.1	5211	1058	604610	NP_000048;NP_001274175;NP_001274176;NP_001274177;XP_006720695	NM_000057;NM_001287246;NM_001287247;NM_001287248;XM_006720632	ENSP00000347232	P54132	TRUE	cgc	0	1	0	Last Universal Common Ancestor	3	Cell cycle,Cell response to stimuli,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Immune system response,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr15	91290623	91358506	|RECQ2|	NP_000048	0	FALSE	1	69	22417	0.1510	22
